suburb,suburb_state,numCrimes
nar nar goon north,VIC,64
baringhup west,VIC,3
carlyle,VIC,1
don valley,VIC,80
half moon bay,VIC,1
beverford,VIC,36
arapiles,VIC,4
darebin,VIC,14
chewton,VIC,122
calulu,VIC,17
south yarra,VIC,11311
huon creek,VIC,2
carrum downs,VIC,8413
glendaruel,VIC,2
king valley,VIC,5
nichols point,VIC,230
nilma,VIC,55
tarrington,VIC,15
alberton west,VIC,16
tonghi creek,VIC,3
waterford park,VIC,32
pipers creek,VIC,7
bendigo north,VIC,931
mannerim,VIC,33
berringama,VIC,4
moe south,VIC,29
werrimull,VIC,20
bundoora,VIC,10025
pella,VIC,7
ballangeich,VIC,7
dunluce,VIC,7
bindi,VIC,1
capel sound,VIC,1794
tottington,VIC,1
ballarat,VIC,28747
gooramadda,VIC,8
sorrento,VIC,1104
thorpdale,VIC,188
running creek,VIC,10
frankston,VIC,40739
lindenow south,VIC,66
tarra valley,VIC,16
barongarook,VIC,74
bete bolong north,VIC,1
warracknabeal,VIC,933
thornton,VIC,49
lower heytesbury,VIC,2
cororooke,VIC,55
aspendale gardens,VIC,754
greta,VIC,8
huon,VIC,17
watchupga,VIC,1
clayton north,VIC,53
walhalla,VIC,44
merricks,VIC,22
musk vale,VIC,1
armadale,VIC,2411
kangaroo ground,VIC,126
wyndham vale,VIC,5894
cherrypool,VIC,4
teesdale,VIC,70
plenty,VIC,554
lang lang east,VIC,4
kyabram south,VIC,3
darlimurla,VIC,3
docker,VIC,7
bradford,VIC,1
neilborough east,VIC,2
richmond east,VIC,13
north wangaratta,VIC,4
thowgla valley,VIC,22
monomeith,VIC,6
croydon north,VIC,987
moolap,VIC,1095
eurobin,VIC,19
amphitheatre,VIC,92
forge creek,VIC,34
agnes,VIC,10
dunrobin,VIC,3
robinvale irrigation district section e,VIC,1
strathdownie,VIC,28
monegeetta north,VIC,2
kotupna,VIC,30
west creek,VIC,5
upfield,VIC,131
bulgana,VIC,4
tynong,VIC,130
nambrok,VIC,83
riverslea,VIC,26
colbrook,VIC,2
skye,VIC,1952
toombon,VIC,11
wurdiboluc,VIC,5
port welshpool,VIC,61
deans marsh,VIC,37
russells bridge,VIC,5
naroghid,VIC,13
mokepilly,VIC,2
iraak,VIC,45
adelaide lead,VIC,11
prahran east,VIC,9
tatura east,VIC,3
glen park,VIC,47
kardella,VIC,7
yackandandah,VIC,166
irrewillipe,VIC,26
chartwell,VIC,3
sea lake,VIC,131
swan bay,VIC,5
telopea downs,VIC,6
ravenswood,VIC,174
boisdale,VIC,73
piambie,VIC,1
clonbinane,VIC,118
beech forest,VIC,26
emu,VIC,21
tonimbuk,VIC,54
seaholme,VIC,330
wonwondah north,VIC,6
almurta,VIC,18
cloverlea,VIC,14
cannie,VIC,2
woodford,VIC,5
caulfield,VIC,2253
eskdale,VIC,24
nillahcootie,VIC,2
tandarra,VIC,7
wooroonook,VIC,13
langdons hill,VIC,1
lancaster,VIC,69
beazleys bridge,VIC,2
brewster,VIC,8
mount napier,VIC,1
norval,VIC,3
mcloughlins beach,VIC,75
maintongoon,VIC,1
kialla lakes,VIC,42
woodglen,VIC,2
warrandyte south,VIC,83
carlisle river,VIC,17
chapel flat,VIC,1
chintin,VIC,12
corndale,VIC,8
armstrong creek,VIC,283
moolerr,VIC,2
konongwootong,VIC,2
mont albert north,VIC,444
percydale,VIC,21
warrion,VIC,17
marcus hill,VIC,40
mount waverley,VIC,6264
prahran,VIC,13265
gipsy point,VIC,3
fairhaven,VIC,74
meredith,VIC,287
barfold,VIC,28
oakleigh south,VIC,2304
jeparit,VIC,186
hoppers crossing,VIC,15709
swanwater,VIC,1
doveton,VIC,6171
normanville,VIC,1
ardeer,VIC,2439
numurkah,VIC,1025
clarkes hill,VIC,14
mininera,VIC,5
norlane west,VIC,24
strathmerton,VIC,271
mardan,VIC,15
skenes creek north,VIC,4
knowsley,VIC,66
braybrook,VIC,5864
happy valley,VIC,13
waanyarra,VIC,3
landsborough,VIC,96
kingsville,VIC,784
essendon airport,VIC,4
carlsruhe,VIC,80
barkers creek,VIC,56
manangatang,VIC,177
harmers haven,VIC,20
hamilton,VIC,4583
cosgrove,VIC,17
heathmont,VIC,2035
long forest,VIC,51
poolaijelo,VIC,6
ballarat west,VIC,2
balook,VIC,4
sunshine,VIC,19209
castle donnington,VIC,22
yelta,VIC,63
strathewen,VIC,28
dellicknora,VIC,3
yielima,VIC,44
woodside,VIC,145
lucknow,VIC,285
wattle creek,VIC,2
coomoora,VIC,25
upper gundowring,VIC,2
lubeck,VIC,5
denison,VIC,100
kings park,VIC,2345
croydon hills,VIC,572
charleroi,VIC,6
skenes creek,VIC,26
lake fyans,VIC,11
parwan,VIC,106
telford,VIC,3
corindhap,VIC,29
st helens plains,VIC,6
moormbool west,VIC,11
ledcourt,VIC,12
maidstone,VIC,3339
balliang east,VIC,55
dorodong,VIC,5
mount emu,VIC,5
irishtown,VIC,4
green hill,VIC,7
powlett plains,VIC,7
ellinbank,VIC,21
tallangatta,VIC,323
benloch,VIC,54
mitta mitta,VIC,14
paraparap,VIC,35
kilmany,VIC,35
pental island,VIC,23
parkdale,VIC,2250
upper maffra west,VIC,3
huntly north,VIC,6
carron,VIC,1
glenisla,VIC,3
vermont,VIC,1809
betley,VIC,6
