suburb,suburb_state,numCrimes
New town,SA,4
Moody,SA,1
Arthurton,SA,1
Dulwich,SA,30
Encounter bay,SA,43
Colton,SA,1
Wattle park,SA,8
Ashton,SA,1
Wirraminna,SA,1
Booleroo centre,SA,2
Hendon,SA,35
Netherby,SA,20
Ferryden park,SA,113
Mingbool,SA,1
Mitchell park,SA,195
Greenacres,SA,127
Yatina,SA,1
Salisbury east,SA,221
Laffer,SA,1
Woodville north,SA,118
Wattle flat,SA,1
Surrey hills,SA,1
Annadale,SA,1
Newton,SA,114
Tarnma,SA,1
Copley,SA,5
Moyhall,SA,2
Aldinga beach,SA,213
Woods point,SA,1
Toora,SA,1
Fairview park,SA,71
Myponga,SA,16
Ninnes,SA,1
Parawa,SA,3
Old noarlunga,SA,82
Mawson lakes,SA,464
Mypolonga,SA,3
Mingary,SA,1
Sunnyside,SA,1
Cavan,SA,105
Woolpunda,SA,1
Maaoupe,SA,2
Evanston,SA,192
Mylor,SA,8
Marden,SA,75
Mount barker springs,SA,3
The pines,SA,1
Bordertown,SA,58
Jamestown,SA,20
Nelshaby,SA,2
Chaffey,SA,1
Eudunda,SA,12
Pukatja,SA,32
Wigley flat,SA,2
Elizabeth,SA,520
Wirrulla,SA,1
Vivonne bay,SA,1
Yahl,SA,2
Kersbrook,SA,13
Mount arden,SA,1
Bright,SA,1
Bowillia,SA,1
Hillier,SA,18
Golden grove,SA,241
Riverton,SA,24
Modbury north,SA,114
Heathfield,SA,12
Kangarilla,SA,10
Gurra gurra,SA,1
Valley view,SA,167
Willalooka,SA,1
Stonyfell,SA,5
Nundroo,SA,2
Pinks beach,SA,1
Alford,SA,9
Elwomple,SA,1
Port pirie west,SA,84
Reynella east,SA,32
Joslin,SA,7
Port vincent,SA,5
Salisbury park,SA,64
Aldgate,SA,19
Regency park,SA,41
Kings park,SA,11
Warooka,SA,3
Marryatville,SA,19
Wattle range,SA,4
Reid,SA,12
Good hope landing,SA,1
Willowie,SA,1
Port augusta,SA,737
Lincoln gap,SA,1
Flagstaff hill,SA,79
Boston,SA,1
Collinswood,SA,46
Owen,SA,7
Windsor,SA,3
Seddon,SA,1
Whyalla playford,SA,101
Moorlands,SA,2
Glossop,SA,24
Seaford heights,SA,8
Corny point,SA,1
Port pirie south,SA,75
Adelaide,SA,3379
Monteith,SA,1
Palmer,SA,2
Allendale north,SA,1
Renmark,SA,184
North lakes,SA,1
Kingsgrove,SA,1
Burdett,SA,6
Wudinna,SA,4
Munno para,SA,278
Birdwood,SA,23
Port wakefield,SA,23
Flinders park,SA,134
Woodchester,SA,2
Yundi,SA,1
Tonsley,SA,3
Angle vale,SA,121
Kensington gardens,SA,36
Agery,SA,2
Semaphore park,SA,123
Dudley park,SA,29
Greenwith,SA,103
Kingscote,SA,18
Halbury,SA,3
Sunlands,SA,3
Cromer,SA,2
Roseworthy,SA,12
Hawker,SA,3
Burra,SA,10
Andrews farm,SA,152
Bridgewater,SA,39
Milang,SA,14
Whyalla jenkins,SA,44
Erindale,SA,8
Port adelaide,SA,335
Cape jervis,SA,15
Hayborough,SA,22
Penola,SA,21
Moonta mines,SA,5
Gillentown,SA,1
Dutton,SA,5
Monarto south,SA,3
West lakes,SA,314
Charleston,SA,1
Stockport,SA,4
Mount gambier,SA,576
Cygnet river,SA,1
Brukunga,SA,1
Seacliff,SA,41
Woodville,SA,120
Tarlee,SA,5
Gepps cross,SA,106
Kalka,SA,4
Seaford meadows,SA,102
Bugle hut,SA,4
Auburn,SA,3
Croydon,SA,39
Magdala,SA,1
Concordia,SA,1
Kilburn,SA,470
Cumberland park,SA,72
Eastwood,SA,56
Myponga beach,SA,1
Crafers west,SA,7
Evandale,SA,33
Forreston,SA,2
Shea-oak log,SA,4
Willunga,SA,34
Cobdogla,SA,1
Halidon,SA,1
Wingfield,SA,101
Lochiel,SA,3
Grange,SA,111
Port germein,SA,3
Templers,SA,3
Riverglades,SA,5
Underdale,SA,87
Lockleys,SA,83
Paskeville,SA,6
Port flinders,SA,1
Kensington park,SA,24
Angas valley,SA,2
Lightsview,SA,129
Innamincka,SA,2
Ashbourne,SA,2
Truro,SA,9
Mallala,SA,11
Price,SA,4
Murray bridge south,SA,7
Albert park,SA,58
Ascot park,SA,151
Marananga,SA,1
Morphett vale,SA,952
Mantung,SA,1
Korunye,SA,7
Thevenard,SA,47
St kilda,SA,6
Coonamia,SA,1
Yankalilla,SA,12
Tiddy widdy beach,SA,1
Penrice,SA,4
Renmark west,SA,15
Douglas point,SA,1
Whyte yarcowie,SA,3
Hindmarsh tiers,SA,2
Bowhill,SA,2
Compton,SA,1
Trinity gardens,SA,30
Woodville park,SA,83
Parafield,SA,134
Christie downs,SA,364
Cultana,SA,1
Cadell,SA,7
Banksia park,SA,56
Normanville,SA,14
Wallaroo,SA,114
Mile end,SA,225
Younghusband,SA,3
Whites valley,SA,2
North brighton,SA,42
Bute,SA,5
Medindie,SA,42
Lock,SA,4
Rose park,SA,31
Gawler south,SA,120
Cummins,SA,5
Hillcrest,SA,110
Nepean bay,SA,2
Sellicks hill,SA,2
Hay flat,SA,1
Coromandel valley,SA,25
Lobethal,SA,39
Moonta bay,SA,24
Tungkillo,SA,2
Magill,SA,112
Mount bryan east,SA,1
Bedford park,SA,77
Cherry gardens,SA,4
Stirling north,SA,59
Clarence park,SA,81
Kulpara,SA,2
