Suburb/Town Name,Offence Count
KINGSVILLE,3
KINGSVILLE,3
KINGSVILLE,1
KINGSVILLE,4
MAIDSTONE,90
MAIDSTONE,5
MAIDSTONE,39
MAIDSTONE,1
MAIDSTONE,5
MAIDSTONE,97
MAIDSTONE,55
MAIDSTONE,115
MAIDSTONE,9
MAIDSTONE,4
MAIDSTONE,23
MAIDSTONE,35
MAIDSTONE,2
MAIDSTONE,10
MAIDSTONE,1
MAIDSTONE,1
MAIDSTONE,26
MAIDSTONE,4
MAIDSTONE,23
MAIDSTONE,8
MAIDSTONE,23
MAIDSTONE,2
MAIDSTONE,1
MAIDSTONE,13
MAIDSTONE,2
TOTTENHAM,16
TOTTENHAM,2
TOTTENHAM,9
TOTTENHAM,2
TOTTENHAM,7
TOTTENHAM,13
TOTTENHAM,13
TOTTENHAM,2
TOTTENHAM,2
TOTTENHAM,2
TOTTENHAM,15
TOTTENHAM,2
TOTTENHAM,35
TOTTENHAM,1
TOTTENHAM,5
TOTTENHAM,3
TOTTENHAM,4
TOTTENHAM,1
TOTTENHAM,1
TOTTENHAM,1
TOTTENHAM,5
YARRAVILLE,101
YARRAVILLE,8
YARRAVILLE,78
YARRAVILLE,9
YARRAVILLE,9
YARRAVILLE,125
YARRAVILLE,46
YARRAVILLE,300
YARRAVILLE,25
YARRAVILLE,24
YARRAVILLE,22
YARRAVILLE,84
YARRAVILLE,5
YARRAVILLE,48
YARRAVILLE,2
YARRAVILLE,14
YARRAVILLE,44
YARRAVILLE,15
YARRAVILLE,25
YARRAVILLE,3
YARRAVILLE,6
YARRAVILLE,1
KINGSVILLE SOUTH,25
KINGSVILLE SOUTH,10
KINGSVILLE SOUTH,2
KINGSVILLE SOUTH,2
KINGSVILLE SOUTH,17
KINGSVILLE SOUTH,6
KINGSVILLE SOUTH,19
KINGSVILLE SOUTH,4
KINGSVILLE SOUTH,3
KINGSVILLE SOUTH,5
KINGSVILLE SOUTH,3
KINGSVILLE SOUTH,3
KINGSVILLE SOUTH,3
KINGSVILLE SOUTH,2
KINGSVILLE SOUTH,1
KINGSVILLE SOUTH,5
KINGSVILLE SOUTH,1
NEWPORT,65
NEWPORT,3
NEWPORT,133
NEWPORT,24
NEWPORT,2
NEWPORT,11
NEWPORT,122
NEWPORT,48
NEWPORT,171
NEWPORT,7
NEWPORT,13
NEWPORT,16
NEWPORT,1
NEWPORT,63
NEWPORT,2
NEWPORT,24
NEWPORT,1
NEWPORT,1
NEWPORT,1
NEWPORT,1
NEWPORT,28
NEWPORT,13
NEWPORT,58
NEWPORT,3
NEWPORT,5
NEWPORT,14
NEWPORT,2
NEWPORT WEST,1
SPOTSWOOD,17
SPOTSWOOD,2
SPOTSWOOD,34
SPOTSWOOD,2
SPOTSWOOD,32
SPOTSWOOD,16
SPOTSWOOD,64
SPOTSWOOD,3
SPOTSWOOD,3
SPOTSWOOD,3
SPOTSWOOD,71
SPOTSWOOD,2
SPOTSWOOD,10
SPOTSWOOD,1
SPOTSWOOD,5
SPOTSWOOD,1
SPOTSWOOD,3
SPOTSWOOD,1
SPOTSWOOD,1
SPOTSWOOD,1
WILLIAMSTOWN,119
WILLIAMSTOWN,5
WILLIAMSTOWN,152
WILLIAMSTOWN,19
WILLIAMSTOWN,13
WILLIAMSTOWN,120
WILLIAMSTOWN,39
WILLIAMSTOWN,176
WILLIAMSTOWN,45
WILLIAMSTOWN,26
WILLIAMSTOWN,16
WILLIAMSTOWN,135
WILLIAMSTOWN,5
WILLIAMSTOWN,40
WILLIAMSTOWN,2
WILLIAMSTOWN,1
WILLIAMSTOWN,5
WILLIAMSTOWN,22
WILLIAMSTOWN,16
WILLIAMSTOWN,57
WILLIAMSTOWN,4
WILLIAMSTOWN,11
WILLIAMSTOWN,39
WILLIAMSTOWN,6
WILLIAMSTOWN,15
WILLIAMSTOWN NORTH,29
WILLIAMSTOWN NORTH,7
WILLIAMSTOWN NORTH,25
WILLIAMSTOWN NORTH,5
WILLIAMSTOWN NORTH,3
WILLIAMSTOWN NORTH,35
WILLIAMSTOWN NORTH,19
WILLIAMSTOWN NORTH,53
WILLIAMSTOWN NORTH,14
WILLIAMSTOWN NORTH,6
WILLIAMSTOWN NORTH,25
WILLIAMSTOWN NORTH,2
WILLIAMSTOWN NORTH,37
WILLIAMSTOWN NORTH,5
WILLIAMSTOWN NORTH,1
WILLIAMSTOWN NORTH,18
WILLIAMSTOWN NORTH,14
WILLIAMSTOWN NORTH,6
WILLIAMSTOWN NORTH,3
WILLIAMSTOWN NORTH,2
WILLIAMSTOWN NORTH,2
ALTONA,115
ALTONA,10
ALTONA,107
ALTONA,11
ALTONA,2
ALTONA,10
ALTONA,108
ALTONA,42
ALTONA,115
ALTONA,48
ALTONA,9
ALTONA,15
ALTONA,1
ALTONA,123
ALTONA,14
ALTONA,48
ALTONA,5
ALTONA,4
ALTONA,2
ALTONA,22
ALTONA,33
ALTONA,42
ALTONA,2
ALTONA,12
ALTONA,9
ALTONA,4
ALTONA,1
SEAHOLME,7
SEAHOLME,12
SEAHOLME,3
SEAHOLME,15
SEAHOLME,1
SEAHOLME,6
SEAHOLME,6
SEAHOLME,2
SEAHOLME,3
SEAHOLME,1
SEAHOLME,5
SEAHOLME,2
BRAYBROOK,104
BRAYBROOK,13
BRAYBROOK,92
BRAYBROOK,4
BRAYBROOK,1
BRAYBROOK,14
BRAYBROOK,141
BRAYBROOK,79
BRAYBROOK,161
BRAYBROOK,59
BRAYBROOK,3
BRAYBROOK,55
BRAYBROOK,118
BRAYBROOK,9
BRAYBROOK,38
BRAYBROOK,10
BRAYBROOK,1
BRAYBROOK,1
BRAYBROOK,32
BRAYBROOK,5
BRAYBROOK,103
BRAYBROOK,56
BRAYBROOK,28
BRAYBROOK,1
BRAYBROOK,1
BRAYBROOK,11
BRAYBROOK,2
BRAYBROOK,1
ALBION,77
ALBION,5
ALBION,43
ALBION,6
ALBION,2
ALBION,7
ALBION,72
ALBION,28
ALBION,79
ALBION,2
ALBION,1
ALBION,6
ALBION,2
ALBION,26
ALBION,1
ALBION,3
ALBION,1
ALBION,3
ALBION,16
ALBION,11
ALBION,8
ALBION,4
ALBION,2
ALBION,6
SUNSHINE,459
SUNSHINE,11
SUNSHINE,224
SUNSHINE,12
SUNSHINE,2
SUNSHINE,13
SUNSHINE,270
SUNSHINE,205
SUNSHINE,446
SUNSHINE,208
SUNSHINE,9
SUNSHINE,93
SUNSHINE,1
SUNSHINE,465
SUNSHINE,11
SUNSHINE,232
SUNSHINE,16
SUNSHINE,3
SUNSHINE,36
SUNSHINE,15
SUNSHINE,132
SUNSHINE,91
SUNSHINE,100
SUNSHINE,7
SUNSHINE,119
SUNSHINE,767
SUNSHINE,4
SUNSHINE,1
SUNSHINE,1
SUNSHINE NORTH,71
SUNSHINE NORTH,11
SUNSHINE NORTH,69
SUNSHINE NORTH,3
SUNSHINE NORTH,11
SUNSHINE NORTH,99
SUNSHINE NORTH,67
SUNSHINE NORTH,121
SUNSHINE NORTH,7
SUNSHINE NORTH,3
SUNSHINE NORTH,24
SUNSHINE NORTH,59
SUNSHINE NORTH,2
SUNSHINE NORTH,12
SUNSHINE NORTH,9
SUNSHINE NORTH,5
SUNSHINE NORTH,45
SUNSHINE NORTH,27
SUNSHINE NORTH,10
SUNSHINE NORTH,1
SUNSHINE NORTH,7
SUNSHINE NORTH,11
SUNSHINE NORTH,3
SUNSHINE WEST,152
SUNSHINE WEST,12
SUNSHINE WEST,92
SUNSHINE WEST,3
SUNSHINE WEST,18
SUNSHINE WEST,159
SUNSHINE WEST,73
SUNSHINE WEST,140
SUNSHINE WEST,8
SUNSHINE WEST,2
SUNSHINE WEST,18
SUNSHINE WEST,79
SUNSHINE WEST,2
SUNSHINE WEST,8
SUNSHINE WEST,3
SUNSHINE WEST,25
SUNSHINE WEST,14
SUNSHINE WEST,40
SUNSHINE WEST,37
SUNSHINE WEST,14
SUNSHINE WEST,5
SUNSHINE WEST,3
SUNSHINE WEST,21
SUNSHINE WEST,15
ALBANVALE,23
ALBANVALE,2
ALBANVALE,19
ALBANVALE,4
ALBANVALE,40
ALBANVALE,13
ALBANVALE,21
ALBANVALE,1
ALBANVALE,4
ALBANVALE,14
ALBANVALE,1
ALBANVALE,2
ALBANVALE,1
ALBANVALE,3
ALBANVALE,4
ALBANVALE,1
ALBANVALE,5
ALBANVALE,1
ALBANVALE,2
ALBANVALE,7
KEALBA,36
KEALBA,2
KEALBA,18
KEALBA,1
KEALBA,31
KEALBA,18
KEALBA,29
KEALBA,3
KEALBA,1
KEALBA,7
KEALBA,45
KEALBA,1
KEALBA,9
KEALBA,15
KEALBA,1
KEALBA,19
KEALBA,13
KEALBA,8
KEALBA,1
KEALBA,5
KINGS PARK,81
KINGS PARK,4
KINGS PARK,43
KINGS PARK,2
KINGS PARK,5
KINGS PARK,74
KINGS PARK,23
KINGS PARK,30
KINGS PARK,3
KINGS PARK,15
KINGS PARK,25
KINGS PARK,1
KINGS PARK,3
KINGS PARK,2
KINGS PARK,11
KINGS PARK,3
KINGS PARK,21
KINGS PARK,9
KINGS PARK,3
KINGS PARK,1
KINGS PARK,3
KINGS PARK,13
KINGSPARK,2
KINGSPARK,1
ST ALBANS,618
ST ALBANS,36
ST ALBANS,360
ST ALBANS,5
ST ALBANS,3
ST ALBANS,54
ST ALBANS,428
ST ALBANS,265
ST ALBANS,634
ST ALBANS,229
ST ALBANS,23
ST ALBANS,121
ST ALBANS,2
ST ALBANS,391
ST ALBANS,17
ST ALBANS,97
ST ALBANS,16
ST ALBANS,80
ST ALBANS,21
ST ALBANS,191
ST ALBANS,1
ST ALBANS,133
ST ALBANS,118
ST ALBANS,19
ST ALBANS,42
ST ALBANS,71
ST ALBANS,4
ST ALBANS,2
ARDEER,31
ARDEER,5
ARDEER,38
ARDEER,2
ARDEER,3
ARDEER,83
ARDEER,22
ARDEER,66
ARDEER,6
ARDEER,1
ARDEER,16
ARDEER,276
ARDEER,6
ARDEER,20
ARDEER,2
ARDEER,5
ARDEER,7
ARDEER,36
ARDEER,16
ARDEER,1
ARDEER,6
ARDEER,6
ARDEER,1
BURNSIDE,25
BURNSIDE,1
BURNSIDE,33
BURNSIDE,1
BURNSIDE,1
BURNSIDE,26
BURNSIDE,21
BURNSIDE,56
BURNSIDE,26
BURNSIDE,1
BURNSIDE,6
BURNSIDE,22
BURNSIDE,15
BURNSIDE,2
BURNSIDE,1
BURNSIDE,3
BURNSIDE,4
BURNSIDE,4
BURNSIDE,1
BURNSIDE,2
BURNSIDE,9
BURNSIDE HEIGHTS,15
BURNSIDE HEIGHTS,4
BURNSIDE HEIGHTS,50
BURNSIDE HEIGHTS,1
BURNSIDE HEIGHTS,4
BURNSIDE HEIGHTS,38
BURNSIDE HEIGHTS,23
BURNSIDE HEIGHTS,54
BURNSIDE HEIGHTS,1
BURNSIDE HEIGHTS,1
BURNSIDE HEIGHTS,9
BURNSIDE HEIGHTS,8
BURNSIDE HEIGHTS,1
BURNSIDE HEIGHTS,10
BURNSIDE HEIGHTS,7
BURNSIDE HEIGHTS,7
BURNSIDE HEIGHTS,3
BURNSIDE HEIGHTS,1
BURNSIDE HEIGHTS,6
CAIRNLEA,50
CAIRNLEA,8
CAIRNLEA,43
CAIRNLEA,1
CAIRNLEA,8
CAIRNLEA,85
CAIRNLEA,37
CAIRNLEA,91
CAIRNLEA,27
CAIRNLEA,4
CAIRNLEA,34
CAIRNLEA,1
CAIRNLEA,37
CAIRNLEA,4
CAIRNLEA,17
CAIRNLEA,5
CAIRNLEA,20
CAIRNLEA,10
CAIRNLEA,4
CAIRNLEA,3
CAIRNLEA,11
CAROLINE SPRINGS,122
CAROLINE SPRINGS,13
CAROLINE SPRINGS,234
CAROLINE SPRINGS,4
CAROLINE SPRINGS,4
CAROLINE SPRINGS,177
CAROLINE SPRINGS,80
CAROLINE SPRINGS,202
CAROLINE SPRINGS,61
CAROLINE SPRINGS,9
CAROLINE SPRINGS,30
CAROLINE SPRINGS,153
CAROLINE SPRINGS,4
CAROLINE SPRINGS,46
CAROLINE SPRINGS,1
CAROLINE SPRINGS,9
CAROLINE SPRINGS,7
CAROLINE SPRINGS,41
CAROLINE SPRINGS,30
CAROLINE SPRINGS,35
CAROLINE SPRINGS,17
CAROLINE SPRINGS,10
CAROLINE SPRINGS,26
CAROLINE SPRINGS,1
DEER PARK,286
DEER PARK,15
DEER PARK,182
DEER PARK,4
DEER PARK,6
DEER PARK,214
DEER PARK,123
DEER PARK,301
DEER PARK,46
DEER PARK,2
DEER PARK,50
DEER PARK,237
DEER PARK,4
DEER PARK,56
DEER PARK,2
DEER PARK,23
DEER PARK,10
DEER PARK,80
DEER PARK,40
DEER PARK,30
DEER PARK,10
DEER PARK,15
DEER PARK,25
RAVENHALL,146
RAVENHALL,12
RAVENHALL,39
RAVENHALL,28
RAVENHALL,12
RAVENHALL,12
RAVENHALL,13
RAVENHALL,2
RAVENHALL,62
RAVENHALL,1
RAVENHALL,10
RAVENHALL,1
RAVENHALL,1
RAVENHALL,1
RAVENHALL,33
RAVENHALL,13
RAVENHALL,1
RAVENHALL,1
RAVENHALL,12
RAVENHALL,3
MOUNT COTTRELL,4
MOUNT COTTRELL,10
MOUNT COTTRELL,2
MOUNT COTTRELL,1
MOUNT COTTRELL,8
MOUNT COTTRELL,4
MOUNT COTTRELL,1
MOUNT COTTRELL,2
WYNDHAM VALE,120
WYNDHAM VALE,8
WYNDHAM VALE,131
WYNDHAM VALE,1
WYNDHAM VALE,1
WYNDHAM VALE,13
WYNDHAM VALE,251
WYNDHAM VALE,42
WYNDHAM VALE,210
WYNDHAM VALE,12
WYNDHAM VALE,2
WYNDHAM VALE,19
WYNDHAM VALE,135
WYNDHAM VALE,3
WYNDHAM VALE,12
WYNDHAM VALE,9
WYNDHAM VALE,6
WYNDHAM VALE,26
WYNDHAM VALE,35
WYNDHAM VALE,16
WYNDHAM VALE,1
WYNDHAM VALE,7
WYNDHAM VALE,17
ALTONA GATE,1
ALTONA NORTH,149
ALTONA NORTH,7
ALTONA NORTH,106
ALTONA NORTH,13
ALTONA NORTH,1
ALTONA NORTH,4
ALTONA NORTH,90
ALTONA NORTH,79
ALTONA NORTH,182
ALTONA NORTH,95
ALTONA NORTH,5
ALTONA NORTH,33
ALTONA NORTH,180
ALTONA NORTH,13
ALTONA NORTH,91
ALTONA NORTH,2
ALTONA NORTH,1
ALTONA NORTH,2
ALTONA NORTH,3
ALTONA NORTH,39
ALTONA NORTH,45
ALTONA NORTH,27
ALTONA NORTH,6
ALTONA NORTH,13
ALTONA NORTH,19
ALTONA NORTH,1
ALTONA NORTH,2
ALTONA NORTH,2
LAVERTON NORTH,70
LAVERTON NORTH,8
LAVERTON NORTH,38
LAVERTON NORTH,1
LAVERTON NORTH,67
LAVERTON NORTH,44
LAVERTON NORTH,60
LAVERTON NORTH,2
LAVERTON NORTH,7
LAVERTON NORTH,195
LAVERTON NORTH,1
LAVERTON NORTH,37
LAVERTON NORTH,1
LAVERTON NORTH,2
LAVERTON NORTH,7
LAVERTON NORTH,7
LAVERTON NORTH,5
LAVERTON NORTH,3
LAVERTON NORTH,1
LAVERTON NORTH,7
LAVERTON NORTH,4
LAVERTON NORTH,1
POINT COOK RAAF,1
WILLIAMS LANDING,5
WILLIAMS LANDING,17
WILLIAMS LANDING,3
WILLIAMS LANDING,69
WILLIAMS LANDING,5
WILLIAMS LANDING,20
WILLIAMS LANDING,40
WILLIAMS LANDING,1
WILLIAMS LANDING,1
WILLIAMS LANDING,2
WILLIAMS LANDING,2
WILLIAMS LANDING,1
WILLIAMS LANDING,3
ALTONA MEADOWS,132
ALTONA MEADOWS,5
ALTONA MEADOWS,115
ALTONA MEADOWS,7
ALTONA MEADOWS,1
ALTONA MEADOWS,12
ALTONA MEADOWS,102
ALTONA MEADOWS,54
ALTONA MEADOWS,137
ALTONA MEADOWS,59
ALTONA MEADOWS,5
ALTONA MEADOWS,16
ALTONA MEADOWS,97
ALTONA MEADOWS,8
ALTONA MEADOWS,22
ALTONA MEADOWS,11
ALTONA MEADOWS,7
ALTONA MEADOWS,14
ALTONA MEADOWS,12
ALTONA MEADOWS,27
ALTONA MEADOWS,4
ALTONA MEADOWS,9
ALTONA MEADOWS,37
ALTONA MEADOWS,1
LAVERTON,122
LAVERTON,7
LAVERTON,91
LAVERTON,7
LAVERTON,11
LAVERTON,63
LAVERTON,73
LAVERTON,101
LAVERTON,21
LAVERTON,20
LAVERTON,115
LAVERTON,2
LAVERTON,118
LAVERTON,6
LAVERTON,31
LAVERTON,2
LAVERTON,1
LAVERTON,2
LAVERTON,4
LAVERTON,29
LAVERTON,25
LAVERTON,42
LAVERTON,2
LAVERTON,8
LAVERTON,17
LAVERTON,9
LAVERTON,12
LAVERTON,1
SEABROOK,56
SEABROOK,2
SEABROOK,44
SEABROOK,38
SEABROOK,9
SEABROOK,26
SEABROOK,1
SEABROOK,1
SEABROOK,8
